observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
re_m_sn_5_2023-11-08_0002,re_m_sn_5,re_m_sn_5_2023-11-08_0002.JPG,re_m_sn_5_time_lapse_178,2023-11-08T11:00:00Z,2023-11-08T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993085861206,,
re_m_sn_5_2023-11-09_0001,re_m_sn_5,re_m_sn_5_2023-11-09_0001.JPG,re_m_sn_5_time_lapse_179,2023-11-08T23:00:00Z,2023-11-08T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994516372681,,
re_m_sn_5_2023-11-09_0002,re_m_sn_5,re_m_sn_5_2023-11-09_0002.JPG,re_m_sn_5_time_lapse_180,2023-11-09T11:00:00Z,2023-11-09T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992847442627,,
re_m_sn_5_2023-11-10_0001,re_m_sn_5,re_m_sn_5_2023-11-10_0001.JPG,re_m_sn_5_time_lapse_181,2023-11-09T23:00:00Z,2023-11-09T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993801116943,,
re_m_sn_5_2023-11-10_0002,re_m_sn_5,re_m_sn_5_2023-11-10_0002.JPG,re_m_sn_5_time_lapse_182,2023-11-10T11:00:00Z,2023-11-10T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999991536140442,,
re_m_sn_5_2023-11-10_0003,re_m_sn_5,re_m_sn_5_2023-11-10_0003.JPG,re_m_sn_5_motion_sensor_80,2023-11-10T14:35:50Z,2023-11-10T14:35:51Z,media,animal,,Cricetidae,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999944567680359,,
re_m_sn_5_2023-11-10_0004,re_m_sn_5,re_m_sn_5_2023-11-10_0004.JPG,re_m_sn_5_motion_sensor_80,2023-11-10T14:35:50Z,2023-11-10T14:35:51Z,media,animal,,Cricetidae,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999947547912598,,
re_m_sn_5_2023-11-11_0001,re_m_sn_5,re_m_sn_5_2023-11-11_0001.JPG,re_m_sn_5_time_lapse_183,2023-11-10T23:00:00Z,2023-11-10T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995708465576,,
re_m_sn_5_2023-11-11_0002,re_m_sn_5,re_m_sn_5_2023-11-11_0002.JPG,re_m_sn_5_time_lapse_184,2023-11-11T11:00:00Z,2023-11-11T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992489814758,,
re_m_sn_5_2023-11-12_0001,re_m_sn_5,re_m_sn_5_2023-11-12_0001.JPG,re_m_sn_5_time_lapse_185,2023-11-11T23:00:00Z,2023-11-11T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994039535522,,
re_m_sn_5_2023-11-12_0002,re_m_sn_5,re_m_sn_5_2023-11-12_0002.JPG,re_m_sn_5_time_lapse_186,2023-11-12T11:00:00Z,2023-11-12T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994993209839,,
re_m_sn_5_2023-11-13_0001,re_m_sn_5,re_m_sn_5_2023-11-13_0001.JPG,re_m_sn_5_time_lapse_187,2023-11-12T23:00:00Z,2023-11-12T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995589256287,,
re_m_sn_5_2023-11-13_0002,re_m_sn_5,re_m_sn_5_2023-11-13_0002.JPG,re_m_sn_5_time_lapse_188,2023-11-13T11:00:00Z,2023-11-13T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993920326233,,
re_m_sn_5_2023-11-14_0001,re_m_sn_5,re_m_sn_5_2023-11-14_0001.JPG,re_m_sn_5_time_lapse_189,2023-11-13T23:00:00Z,2023-11-13T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993324279785,,
re_m_sn_5_2023-11-14_0002,re_m_sn_5,re_m_sn_5_2023-11-14_0002.JPG,re_m_sn_5_time_lapse_190,2023-11-14T11:00:00Z,2023-11-14T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992609024048,,
re_m_sn_5_2023-11-15_0001,re_m_sn_5,re_m_sn_5_2023-11-15_0001.JPG,re_m_sn_5_time_lapse_191,2023-11-14T23:00:00Z,2023-11-14T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995231628418,,
re_m_sn_5_2023-11-15_0002,re_m_sn_5,re_m_sn_5_2023-11-15_0002.JPG,re_m_sn_5_time_lapse_192,2023-11-15T11:00:00Z,2023-11-15T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994277954102,,
re_m_sn_5_2023-11-16_0001,re_m_sn_5,re_m_sn_5_2023-11-16_0001.JPG,re_m_sn_5_time_lapse_193,2023-11-15T23:00:00Z,2023-11-15T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993801116943,,
re_m_sn_5_2023-11-16_0002,re_m_sn_5,re_m_sn_5_2023-11-16_0002.JPG,re_m_sn_5_time_lapse_194,2023-11-16T11:00:00Z,2023-11-16T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993920326233,,
re_m_sn_5_2023-11-17_0001,re_m_sn_5,re_m_sn_5_2023-11-17_0001.JPG,re_m_sn_5_time_lapse_195,2023-11-16T23:00:00Z,2023-11-16T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995708465576,,
re_m_sn_5_2023-11-17_0002,re_m_sn_5,re_m_sn_5_2023-11-17_0002.JPG,re_m_sn_5_time_lapse_196,2023-11-17T11:00:00Z,2023-11-17T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993205070496,,
re_m_sn_5_2023-11-18_0001,re_m_sn_5,re_m_sn_5_2023-11-18_0001.JPG,re_m_sn_5_time_lapse_197,2023-11-17T23:00:00Z,2023-11-17T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993681907654,,
re_m_sn_5_2023-11-18_0002,re_m_sn_5,re_m_sn_5_2023-11-18_0002.JPG,re_m_sn_5_time_lapse_198,2023-11-18T11:00:00Z,2023-11-18T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993085861206,,
re_m_sn_5_2023-11-19_0001,re_m_sn_5,re_m_sn_5_2023-11-19_0001.JPG,re_m_sn_5_time_lapse_199,2023-11-18T23:00:00Z,2023-11-18T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995112419128,,
re_m_sn_5_2023-11-19_0002,re_m_sn_5,re_m_sn_5_2023-11-19_0002.JPG,re_m_sn_5_time_lapse_200,2023-11-19T11:00:00Z,2023-11-19T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992609024048,,
re_m_sn_5_2023-11-20_0001,re_m_sn_5,re_m_sn_5_2023-11-20_0001.JPG,re_m_sn_5_time_lapse_201,2023-11-19T23:00:00Z,2023-11-19T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995470046997,,
re_m_sn_5_2023-11-20_0002,re_m_sn_5,re_m_sn_5_2023-11-20_0002.JPG,re_m_sn_5_time_lapse_202,2023-11-20T11:00:00Z,2023-11-20T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993324279785,,
re_m_sn_5_2023-11-21_0001,re_m_sn_5,re_m_sn_5_2023-11-21_0001.JPG,re_m_sn_5_time_lapse_203,2023-11-20T23:00:00Z,2023-11-20T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995827674866,,
re_m_sn_5_2023-11-21_0002,re_m_sn_5,re_m_sn_5_2023-11-21_0002.JPG,re_m_sn_5_time_lapse_204,2023-11-21T11:00:00Z,2023-11-21T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999992847442627,,
re_m_sn_5_2023-11-22_0001,re_m_sn_5,re_m_sn_5_2023-11-22_0001.JPG,re_m_sn_5_time_lapse_205,2023-11-21T23:00:00Z,2023-11-21T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995589256287,,
re_m_sn_5_2023-11-22_0002,re_m_sn_5,re_m_sn_5_2023-11-22_0002.JPG,re_m_sn_5_time_lapse_206,2023-11-22T11:00:00Z,2023-11-22T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994397163391,,
re_m_sn_5_2023-11-23_0001,re_m_sn_5,re_m_sn_5_2023-11-23_0001.JPG,re_m_sn_5_time_lapse_207,2023-11-22T23:00:00Z,2023-11-22T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999995827674866,,
re_m_sn_5_2023-11-23_0002,re_m_sn_5,re_m_sn_5_2023-11-23_0002.JPG,re_m_sn_5_time_lapse_208,2023-11-23T11:00:00Z,2023-11-23T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994874000549,,
