type,license,rightsHolder,datasetID,collectionCode,datasetName,basisOfRecord,dataGeneralizations,occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,occurrenceRemarks,organismID,eventID,parentEventID,eventDate,habitat,samplingProtocol,samplingEffort,eventRemarks,locationID,locality,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificName,kingdom
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-15_0004,,,,,present,,,re_l_he_1_motion_sensor_25,re_l_he_1,2023-09-15T18:36:48Z/2023-09-15T18:36:49Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9992728233337% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-16_0003,,,,,present,,,re_l_he_1_motion_sensor_26,re_l_he_1,2023-09-16T15:20:25Z/2023-09-16T15:20:26Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9958038330078% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-16_0004,,,,,present,,,re_l_he_1_motion_sensor_26,re_l_he_1,2023-09-16T15:20:25Z/2023-09-16T15:20:26Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9917984008789% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-16_0005,,,,,present,,,re_l_he_1_motion_sensor_27,re_l_he_1,2023-09-16T15:29:59Z/2023-09-16T15:30:00Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.7891128063202% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-19_0002,,,,,present,,,re_l_he_1_motion_sensor_28,re_l_he_1,2023-09-19T01:31:52Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.7271120548248% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-19_0007,,,,,present,,,re_l_he_1_motion_sensor_30,re_l_he_1,2023-09-19T14:44:01Z/2023-09-19T14:44:02Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.7860133647919% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-19_0008,,,,,present,,,re_l_he_1_motion_sensor_30,re_l_he_1,2023-09-19T14:44:01Z/2023-09-19T14:44:02Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9969005584717% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-20_0005,,,,,present,,,re_l_he_1_motion_sensor_33,re_l_he_1,2023-09-20T11:31:50Z/2023-09-20T11:31:51Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.435943365097% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-20_0006,,,,,present,,,re_l_he_1_motion_sensor_33,re_l_he_1,2023-09-20T11:31:50Z/2023-09-20T11:31:51Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9884963035583% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-20_0007,,,,,present,,,re_l_he_1_motion_sensor_34,re_l_he_1,2023-09-20T11:33:19Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9642610549927% certainty,,Cricetidae,Animalia
