occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_2_2023-12-30_0003_1,re_l_he_2_2023-12-30_0003.JPG,StillImage,,CC-BY4.0,2023-12-30T09:12:17Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2023-12-30_0003.JPG,image/jpeg,authenticate
re_l_he_2_2024-02-16_0002_1,re_l_he_2_2024-02-16_0002.JPG,StillImage,,CC-BY4.0,2024-02-15T22:51:28Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-02-16_0002.JPG,image/jpeg,authenticate
re_l_he_2_2024-02-18_0001_1,re_l_he_2_2024-02-18_0001.JPG,StillImage,,CC-BY4.0,2024-02-17T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-02-18_0001.JPG,image/jpeg,authenticate
re_l_he_2_2024-02-24_0003_1,re_l_he_2_2024-02-24_0003.JPG,StillImage,,CC-BY4.0,2024-02-24T01:16:26Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-02-24_0003.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-07_0001_1,re_l_he_2_2024-05-07_0001.JPG,StillImage,,CC-BY4.0,2024-05-06T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-07_0001.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-16_0012_1,re_l_he_2_2024-05-16_0012.JPG,StillImage,,CC-BY4.0,2024-05-16T01:56:57Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-16_0012.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-16_0022_1,re_l_he_2_2024-05-16_0022.JPG,StillImage,,CC-BY4.0,2024-05-16T06:16:27Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-16_0022.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-23_0012_1,re_l_he_2_2024-05-23_0012.JPG,StillImage,,CC-BY4.0,2024-05-23T03:47:13Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-23_0012.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-24_0001_1,re_l_he_2_2024-05-24_0001.JPG,StillImage,,CC-BY4.0,2024-05-23T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-24_0001.JPG,image/jpeg,authenticate
re_l_he_2_2024-05-27_0008_1,re_l_he_2_2024-05-27_0008.JPG,StillImage,,CC-BY4.0,2024-05-27T08:26:54Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-05-27_0008.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-16_0007_1,re_l_he_2_2024-06-16_0007.JPG,StillImage,,CC-BY4.0,2024-06-16T14:11:54Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-16_0007.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-19_0003_1,re_l_he_2_2024-06-19_0003.JPG,StillImage,,CC-BY4.0,2024-06-18T23:38:03Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-19_0003.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-19_0009_1,re_l_he_2_2024-06-19_0009.JPG,StillImage,,CC-BY4.0,2024-06-18T23:54:09Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-19_0009.JPG,image/jpeg,authenticate
re_l_he_2_2024-06-25_0014_1,re_l_he_2_2024-06-25_0014.JPG,StillImage,,CC-BY4.0,2024-06-25T21:23:41Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_2/2024/re_l_he_2_2024-06-25_0014.JPG,image/jpeg,authenticate
